station_code,station_name,state,year,temperature,ph,conductivity,tds,nitrate,fluoride,GQI,Quality_Class,Quality_Score,ph_trend,conductivity_trend,tds_trend,gqi_trend,tds_3yr_avg,ph_3yr_avg
3.0,"WELL AT AHMEDABAD, GUJARAT",GUJARAT,2016,29.0,7.585,1402.0,897.28,,,1.5,Poor,0,,,,,,
3.0,"WELL AT AHMEDABAD,",GUJARAT,2017,30.0,7.85,1769.0,1132.16,,,1.5,Poor,0,0.2649999999999997,367.0,234.8800000000001,0.0,,
3.0,WELL AT AHMEDABAD,GUJARAT,2018,24.0,7.85,1333.0,853.12,,,1.5,Poor,0,0.0,-436.0,-279.0400000000001,0.0,960.8533333333334,7.761666666666667
3.0,WELL AT AHMEDABAD,GUJARAT,2019,29.5,7.5,1350.5,864.32,,,1.5,Poor,0,-0.34999999999999964,17.5,11.200000000000045,0.0,949.8666666666668,7.733333333333333
3.0,WELL AT AHMEDABAD,GUJARAT,2021,33.0,8.5,2704.0,1730.56,,,1.5,Poor,0,1.0,1353.5,866.2399999999999,0.0,1149.3333333333333,7.95
6.0,"WELL AT BARODA, GUJARAT",GUJARAT,2013,28.5,7.75,250.0,160.0,,,2.0,Moderate,1,,,,,,
6.0,"WELL AT BARODA, GUJARAT",GUJARAT,2016,28.5,7.9,1139.0,728.96,,,1.5,Poor,0,0.15000000000000036,889.0,568.96,-0.5,,
6.0,"WELL AT BARODA,",GUJARAT,2017,29.5,8.25,1099.5,703.6800000000001,,,1.5,Poor,0,0.34999999999999964,-39.5,-25.279999999999973,0.0,530.88,7.966666666666666
6.0,WELL AT BARODA,GUJARAT,2018,14.5,8.35,477.5,305.6,,,2.0,Moderate,1,0.09999999999999964,-622.0,-398.08000000000004,0.5,579.4133333333334,8.166666666666666
6.0,WELL AT BARODA,GUJARAT,2019,28.5,7.550000000000001,1401.0,896.64,,,1.5,Poor,0,-0.7999999999999989,923.5,591.04,-0.5,635.3066666666667,8.05
6.0,WELL AT BARODA,GUJARAT,2021,30.0,7.9,1370.0,876.8000000000001,,,1.5,Poor,0,0.34999999999999964,-31.0,-19.839999999999918,0.0,693.0133333333333,7.933333333333334
15.0,"WELL AT KUYYURA, A.P.",ANDHRA PRADESH,2012,25.5,7.335,210.5,134.72,,,2.0,Moderate,1,,,,,,
15.0,"WELL AT KUYYURA, A.P.",ANDHRA PRADESH,2015,26.5,8.05,208.0,133.12,,,2.0,Moderate,1,0.7150000000000007,-2.5,-1.5999999999999943,0.0,,
16.0,WELL AT TADAVAI A.P.,ANDHRA PRADESH,2012,27.5,7.465,892.0,570.88,,,1.5,Poor,0,,,,,,
16.0,Open well at Tadavai,ANDHRA PRADESH,2014,26.5,7.6,1577.0,1009.28,,,1.5,Poor,0,0.1349999999999998,685.0,438.4,0.0,,
16.0,WELL AT TADAVAI A.P.,ANDHRA PRADESH,2015,29.0,7.25,1079.0,690.5600000000001,,,1.5,Poor,0,-0.34999999999999964,-498.0,-318.7199999999999,0.0,756.9066666666668,7.438333333333333
19.0,"WELL AT ELOOR, KERALA",KERALA,2012,26.0,6.6,182.5,116.8,,,2.0,Moderate,1,,,,,,
19.0,"WELL AT ELOOR, KERALA",KERALA,2013,28.0,6.45,123.0,78.72,,,1.0,Poor,0,-0.14999999999999947,-59.5,-38.08,-1.0,,
19.0,"WELL AT ELOOR, KERALA",KERALA,2014,27.45,6.2,158.5,101.44,,,1.0,Poor,0,-0.25,35.5,22.72,0.0,98.98666666666666,6.416666666666667
19.0,"WELL AT ELOOR, KERALA",KERALA,2015,27.5,6.0,150.0,96.0,,,1.0,Poor,0,-0.20000000000000018,-8.5,-5.439999999999998,0.0,92.05333333333333,6.216666666666666
19.0,WELL AT ELOOR,KERALA,2016,27.3,6.3,151.0,96.64,,,1.0,Poor,0,0.2999999999999998,1.0,0.6400000000000006,0.0,98.02666666666669,6.166666666666667
19.0,"WELL AT ELOOR, KERALA",KERALA,2017,27.4,6.75,117.5,75.2,,,2.0,Moderate,1,0.4500000000000002,-33.5,-21.439999999999998,1.0,89.28000000000002,6.3500000000000005
19.0,"WELL AT ALWAYE, KERALA",KERALA,2018,27.5,6.75,161.5,103.36,,,2.0,Moderate,1,0.0,44.0,28.159999999999997,0.0,91.73333333333335,6.6000000000000005
19.0,"WELL AT ALWAYE, KERALA",KERALA,2019,27.5,6.050000000000001,142.5,91.2,,,1.0,Poor,0,-0.6999999999999993,-19.0,-12.159999999999997,-1.0,89.92,6.516666666666667
19.0,"WELL AT ALWAYE, KERALA",KERALA,2021,24.5,6.85,198.0,126.72,,,2.0,Moderate,1,0.7999999999999989,55.5,35.519999999999996,1.0,107.09333333333335,6.55
22.0,"WELL AT CHUNGAPALLY, KERALA",KERALA,2012,25.0,6.6,105.0,67.2,,,2.0,Moderate,1,,,,,,
22.0,"WELL AT CHUNGAPALLY, KERALA",KERALA,2013,27.5,6.65,130.5,83.52,,,2.0,Moderate,1,0.05000000000000071,25.5,16.319999999999993,0.0,,
22.0,"WELL AT CHUNGAPALLY, KERALA",KERALA,2014,25.0,6.7,114.0,72.96000000000001,,,2.0,Moderate,1,0.04999999999999982,-16.5,-10.559999999999988,0.0,74.56,6.6499999999999995
22.0,"WELL AT CHUNGAPALLY, KERALA",KERALA,2015,30.0,6.9,108.5,69.44,,,2.0,Moderate,1,0.20000000000000018,-5.5,-3.5200000000000102,0.0,75.30666666666667,6.75
22.0,WELL AT CHUNGAPALLY,KERALA,2016,27.0,7.1,120.0,76.8,,,2.0,Moderate,1,0.1999999999999993,11.5,7.359999999999999,0.0,73.06666666666666,6.8999999999999995
22.0,"WELL AT CHUNGAPALLY, KERALA",KERALA,2017,28.0,7.25,135.5,86.72,,,2.0,Moderate,1,0.15000000000000036,15.5,9.920000000000002,0.0,77.65333333333332,7.083333333333333
22.0,"WELL AT CHUNGAPALLY, KERALA",KERALA,2018,26.5,6.9,97.0,62.08,,,2.0,Moderate,1,-0.34999999999999964,-38.5,-24.64,0.0,75.2,7.083333333333333
22.0,"WELL AT CHUNGAPALLY, KERALA",KERALA,2019,27.0,6.6,94.5,60.480000000000004,,,2.0,Moderate,1,-0.3000000000000007,-2.5,-1.5999999999999943,0.0,69.76,6.916666666666667
22.0,"WELL AT CHUNGAPALLY, KERALA",KERALA,2021,29.5,6.75,122.0,78.08,,,2.0,Moderate,1,0.15000000000000036,27.5,17.599999999999994,0.0,66.88,6.75
26.0,"WELL AT VIJAYWADA, A.P.",ANDHRA PRADESH,2012,29.0,7.29,1631.0,1043.84,,,1.5,Poor,0,,,,,,
26.0,Borewell at Vijayawada,ANDHRA PRADESH,2014,22.0,7.3,1738.0,1112.32,,,1.5,Poor,0,0.009999999999999787,107.0,68.48000000000002,0.0,,
26.0,"WELL AT VIJAYWADA, A.P.",ANDHRA PRADESH,2015,22.5,7.35,1451.0,928.64,,,1.5,Poor,0,0.04999999999999982,-287.0,-183.67999999999995,0.0,1028.2666666666667,7.313333333333333
26.0,WELL AT VIJAYWADA,ANDHRA PRADESH,2016,24.0,7.77,1189.0,760.96,,,1.5,Poor,0,0.41999999999999993,-262.0,-167.67999999999995,0.0,933.9733333333334,7.473333333333334
26.0,WELL AT VIJAYWADA,ANDHRA PRADESH,2017,26.0,8.0,1571.0,1005.44,,,1.5,Poor,0,0.23000000000000043,382.0,244.48000000000002,0.0,898.3466666666667,7.706666666666666
26.0,"WELL AT GRAM PANCHAYAT OFFICE, KAANURU,
VIJAYWADA",ANDHRA PRADESH,2018,25.0,7.6,1624.0,1039.3600000000001,,,1.5,Poor,0,-0.40000000000000036,53.0,33.92000000000007,0.0,935.2533333333334,7.789999999999999
26.0,"WELL AT GRAM PANCHAYAT
OFFICE, KAANURU, VIJAYWADA",ANDHRA PRADESH,2019,25.5,7.85,1827.5,1169.6000000000001,,,1.5,Poor,0,0.25,203.5,130.24,0.0,1071.466666666667,7.816666666666666
26.0,"WELL AT GRAM PANCHAYAT
OFFICE, KAANURU, VIJAYWADA",ANDHRA PRADESH,2021,25.0,7.55,1878.5,1202.24,,,1.5,Poor,0,-0.2999999999999998,51.0,32.63999999999987,0.0,1137.0666666666668,7.666666666666667
27.0,"WELL AT PEDDAVOORA, A.P.",ANDHRA PRADESH,2012,26.5,8.31,1544.0,988.16,,,1.5,Poor,0,,,,,,
27.0,B/w at Peddavoora,ANDHRA PRADESH,2014,30.0,7.9,497.0,318.08,,,2.0,Moderate,1,-0.41000000000000014,-1047.0,-670.0799999999999,0.5,,
27.0,"WELL AT PEDDAVOORA,
A.P.",ANDHRA PRADESH,2015,30.0,8.05,1307.5,836.8000000000001,,,1.5,Poor,0,0.15000000000000036,810.5,518.72,-0.5,714.3466666666667,8.086666666666668
32.0,"WELL AT MUSIRI, TAMIL NADU",TAMIL NADU,2012,27.5,7.564999999999999,1395.5,893.12,,,1.5,Poor,0,,,,,,
32.0,"WELL AT MUSIRI, TAMIL
NADU",TAMIL NADU,2015,26.5,7.25,1625.0,1040.0,,,1.5,Poor,0,-0.3149999999999986,229.5,146.88,0.0,,
32.0,WELL AT MUSIRI,TAMIL NADU,2016,31.0,7.25,1869.0,1196.16,,,1.5,Poor,0,0.0,244.0,156.16000000000008,0.0,1043.0933333333332,7.3549999999999995
32.0,"WELL AT MUSIRI, TAMIL NADU",TAMIL NADU,2017,27.0,7.3,841.5,538.5600000000001,,,1.5,Poor,0,0.04999999999999982,-1027.5,-657.6,0.0,924.9066666666668,7.266666666666667
32.0,"WELL AT MUSIRI, TAMIL NADU",TAMIL NADU,2019,30.0,8.0,406.0,259.84000000000003,,,2.0,Moderate,1,0.7000000000000002,-435.5,-278.72,0.5,664.8533333333334,7.516666666666667
32.0,"WELL AT MUSIRI, TAMIL NADU",TAMIL NADU,2021,28.0,7.4,951.5,608.96,,,1.5,Poor,0,-0.5999999999999996,545.5,349.12,-0.5,469.12000000000006,7.566666666666667
35.0,"WELL AT PUNALUR, KERALA",KERALA,2012,26.6,6.75,336.5,215.36,,,2.0,Moderate,1,,,,,,
35.0,"WELL AT PUNALUR, KERALA",KERALA,2013,23.5,6.75,247.0,158.08,,,2.0,Moderate,1,0.0,-89.5,-57.28,0.0,,
35.0,"WELL AT PUNALUR, KERALA",KERALA,2014,24.0,6.0,195.0,124.8,,,1.0,Poor,0,-0.75,-52.0,-33.280000000000015,-1.0,166.08,6.5
35.0,"WELL AT PUNALUR, KERALA",KERALA,2015,24.0,6.75,239.0,152.96,,,2.0,Moderate,1,0.75,44.0,28.16000000000001,1.0,145.28,6.5
35.0,WELL AT PUNALUR,KERALA,2016,24.5,6.75,214.5,137.28,,,2.0,Moderate,1,0.0,-24.5,-15.680000000000007,0.0,138.34666666666666,6.5
35.0,"WELL AT PUNALUR, KERALA",KERALA,2017,25.75,6.55,235.5,150.72,,,2.0,Moderate,1,-0.20000000000000018,21.0,13.439999999999998,0.0,146.98666666666668,6.683333333333334
35.0,"WELL AT PUNALUR, KERALA",KERALA,2018,24.5,6.4,209.0,133.76,,,1.0,Poor,0,-0.14999999999999947,-26.5,-16.960000000000008,-1.0,140.58666666666667,6.566666666666666
